reltime,datetime,iSensor,confidence,heart_rate
54.654,2024/06/13 11:31:05.1739,5,1.0,63.0
54.86,2024/06/13 11:31:05.3799,3,1.0,65.0
54.901,2024/06/13 11:31:05.4209,5,1.0,63.0
55.106,2024/06/13 11:31:05.6259,3,1.0,65.0
55.147,2024/06/13 11:31:05.6669,5,1.0,63.0
55.352,2024/06/13 11:31:05.8719,3,1.0,65.0
55.393,2024/06/13 11:31:05.9129,5,1.0,63.0
55.64,2024/06/13 11:31:06.1599,5,1.0,63.0
55.887,2024/06/13 11:31:06.4069,5,1.0,63.0
56.091,2024/06/13 11:31:06.6109,3,1.0,65.0
56.132,2024/06/13 11:31:06.6519,5,1.0,63.0
56.338,2024/06/13 11:31:06.8579,3,1.0,65.0
56.378,2024/06/13 11:31:06.8979,5,1.0,63.0
56.584,2024/06/13 11:31:07.1039,3,1.0,65.0
56.625,2024/06/13 11:31:07.1449,5,1.0,63.0
56.83,2024/06/13 11:31:07.3499,3,1.0,65.0
56.871,2024/06/13 11:31:07.3909,5,1.0,63.0
57.076,2024/06/13 11:31:07.5959,3,1.0,65.0
57.117,2024/06/13 11:31:07.6369,5,1.0,63.0
57.323,2024/06/13 11:31:07.8429,3,1.0,64.0
57.365,2024/06/13 11:31:07.8849,5,1.0,63.0
57.61,2024/06/13 11:31:08.1299,5,1.0,63.0
57.815,2024/06/13 11:31:08.3349,3,1.0,64.0
57.856,2024/06/13 11:31:08.3759,5,1.0,63.0
58.061,2024/06/13 11:31:08.5809,3,1.0,64.0
58.102,2024/06/13 11:31:08.6219,5,1.0,63.0
58.308,2024/06/13 11:31:08.8279,3,1.0,64.0
58.554,2024/06/13 11:31:09.0739,3,1.0,64.0
58.595,2024/06/13 11:31:09.1149,5,1.0,63.0
58.8,2024/06/13 11:31:09.3199,3,1.0,64.0
58.842,2024/06/13 11:31:09.3619,5,1.0,63.0
59.046,2024/06/13 11:31:09.5659,3,1.0,64.0
59.087,2024/06/13 11:31:09.6069,5,1.0,63.0
59.292,2024/06/13 11:31:09.8119,3,1.0,64.0
59.334,2024/06/13 11:31:09.8539,5,1.0,63.0
59.539,2024/06/13 11:31:10.0589,3,1.0,64.0
59.58,2024/06/13 11:31:10.0999,5,1.0,63.0
59.785,2024/06/13 11:31:10.3049,3,1.0,64.0
59.826,2024/06/13 11:31:10.3459,5,1.0,63.0
60.031,2024/06/13 11:31:10.5509,3,1.0,64.0
60.072,2024/06/13 11:31:10.5919,5,1.0,63.0
60.278,2024/06/13 11:31:10.7979,3,1.0,64.0
60.319,2024/06/13 11:31:10.8389,5,1.0,63.0
60.524,2024/06/13 11:31:11.0439,3,1.0,64.0
60.565,2024/06/13 11:31:11.0849,5,1.0,63.0
60.77,2024/06/13 11:31:11.2899,3,1.0,64.0
60.811,2024/06/13 11:31:11.3309,5,1.0,63.0
61.016,2024/06/13 11:31:11.5359,3,1.0,64.0
61.058,2024/06/13 11:31:11.5779,5,1.0,63.0
61.263,2024/06/13 11:31:11.7829,3,1.0,64.0
61.509,2024/06/13 11:31:12.0289,3,1.0,64.0
61.55,2024/06/13 11:31:12.0699,5,1.0,63.0
61.756,2024/06/13 11:31:12.2759,3,1.0,64.0
61.797,2024/06/13 11:31:12.3169,5,1.0,63.0
62.001,2024/06/13 11:31:12.5209,3,1.0,63.0
62.248,2024/06/13 11:31:12.7679,3,1.0,63.0
62.289,2024/06/13 11:31:12.8089,5,1.0,63.0
62.494,2024/06/13 11:31:13.0139,3,1.0,63.0
62.536,2024/06/13 11:31:13.0559,5,1.0,63.0
62.74,2024/06/13 11:31:13.2599,3,1.0,63.0
62.782,2024/06/13 11:31:13.3019,5,1.0,63.0
62.987,2024/06/13 11:31:13.5069,3,1.0,64.0
63.028,2024/06/13 11:31:13.5479,5,1.0,63.0
63.234,2024/06/13 11:31:13.7539,3,1.0,64.0
63.274,2024/06/13 11:31:13.7939,5,1.0,63.0
63.479,2024/06/13 11:31:13.9989,3,1.0,64.0
63.521,2024/06/13 11:31:14.0409,5,1.0,63.0
63.726,2024/06/13 11:31:14.2459,3,1.0,64.0
63.766,2024/06/13 11:31:14.2859,5,1.0,63.0
63.972,2024/06/13 11:31:14.4919,3,1.0,64.0
64.013,2024/06/13 11:31:14.5329,5,1.0,63.0
64.218,2024/06/13 11:31:14.7379,3,1.0,64.0
64.259,2024/06/13 11:31:14.7789,5,1.0,63.0
64.464,2024/06/13 11:31:14.9839,3,1.0,64.0
64.711,2024/06/13 11:31:15.2309,3,1.0,64.0
64.752,2024/06/13 11:31:15.2719,5,1.0,62.0
64.957,2024/06/13 11:31:15.4769,3,1.0,64.0
64.999,2024/06/13 11:31:15.5189,5,1.0,62.0
65.204,2024/06/13 11:31:15.7239,3,1.0,64.0
65.245,2024/06/13 11:31:15.7649,5,1.0,62.0
65.449,2024/06/13 11:31:15.9689,3,1.0,64.0
65.491,2024/06/13 11:31:16.0109,5,1.0,62.0
65.695,2024/06/13 11:31:16.2149,3,1.0,64.0
65.737,2024/06/13 11:31:16.2569,5,1.0,62.0
65.942,2024/06/13 11:31:16.4619,3,1.0,64.0
